category_id,hpp,idx,label,pd_descr,pd_id,pd_price,rank
51,chart_sub51,2,記憶卡,威剛 Premier microSDHC UHS-I U1 32G記憶卡(附轉卡),6952890,259,4
51,chart_sub51,2,記憶卡,SanDisk Ultra microSDHC UHS-I A1 32GB記憶卡-公司貨,7273467,269,5
54,chart_sub54,3,行動電源 / 電池,ASUS ZenPower 10050mAh 高容量行動電源,6684876,499,1
54,chart_sub54,3,行動電源 / 電池,SONY 環保碳鋅ULTRA電池三號AA (16顆入),1602745,119,2
54,chart_sub54,3,行動電源 / 電池,aibo HV130K 18000 Plus 行動電源,6807407,799,3
54,chart_sub54,3,行動電源 / 電池,aibo DV78K 12000 Plus 行動電源,6528422,599,4
54,chart_sub54,3,行動電源 / 電池,Samsung 適用電池 Galaxy Note2 N7100 系列(無吊卡),5493501,379,5
56,chart_sub56,4,美容家電,飛利浦沙龍級負離子SPA按摩護髮吹風機HP8233(快速到貨),4554701,1188,1
56,chart_sub56,4,美容家電,德國百靈 歐樂B 電動牙刷軟毛刷頭EB20-4(2卡8入)-快速到貨,4853090,799,2
56,chart_sub56,4,美容家電,飛利浦沙龍級護髮水潤負離子專業吹風機HP8232(快速到貨),4554703,880,3
56,chart_sub56,4,美容家電,德國百靈BRAUN-匣式清新檸檬清潔液5331701(2盒4入),5365124,792,4
56,chart_sub56,4,美容家電,國際牌修容/鼻毛器 ER-GN30 [快速到貨],3283781,468,5
57,chart_sub57,5,生活家電,Deukonig 德京 除皺大師掛燙機 皇家藍歐洲熱銷款,5581831,599,1
57,chart_sub57,5,生活家電,國際牌 Panasonic KX-TGB210TW DECT數位無線電話,5521934,1080,2
57,chart_sub57,5,生活家電,Panasonic國際牌 2.4GHz高頻數位大字體無線電話KX-TG3711(黑),3241047,1799,3
57,chart_sub57,5,生活家電,Panasonic 國際牌  來電顯示有線電話機 KX-TSC11,3218264,850,4
57,chart_sub57,5,生活家電,勝家 縫紉機 2116,109776,3990,5
68,chart_sub68,6,家飾 / 織品 / 燈飾,【麗嬰房】韓國 Parklon 帕龍 無毒遊戲地墊(Hi Living-大象),6643819,999,1
68,chart_sub68,6,家飾 / 織品 / 燈飾,Homelike 自然原味松木穿衣鏡,1417124,649,2
68,chart_sub68,6,家飾 / 織品 / 燈飾,日本【COGIT】新一代透氣挺腰美臀坐墊,1469224,880,3
68,chart_sub68,6,家飾 / 織品 / 燈飾,333家居鞋館 北歐風紓壓家居拖鞋,7444837,125,4
68,chart_sub68,6,家飾 / 織品 / 燈飾,休閒拖鞋系列-舒適便利室內拖鞋-2入,6034511,335,5
70,chart_sub70,7,保健食品 / 養生 / 維他命,桂格 活靈芝菌絲體滋補液60ml*30入,938668,1600,1
70,chart_sub70,7,保健食品 / 養生 / 維他命,桂格 養氣人蔘滋補液60ml x 30瓶,938789,1600,2
70,chart_sub70,7,保健食品 / 養生 / 維他命,桂格 無糖養氣人蔘滋補液60ml*18入,5936672,968,3
70,chart_sub70,7,保健食品 / 養生 / 維他命,桂格 完膳營養素(香草) 24罐/箱,945261,1320,4
